player_id,player_name
9519,Kyle Lafferty
40118,Ikechi Anya
3340,Kyle Naughton
3077,Jan Vertonghen
16309,Joel Robles Blázquez
12608,Bradley Guzan
9625,Glenn Whelan
3708,Kelechi Promise Iheanacho
3650,Daryl Janmaat
3812,Christian Fuchs
3652,Tom Davies
4090,Adam David Lallana
30702,Brendan Joel Zibusiso Galloway
3534,Clinton Mua N''Jie
9649,Jack Colback
30289,Papiss Demba Cissé
4884,Pape N''Diaye Souaré
4630,Saido Berahino
4629,José Ramiro Funes Mori
22702,Jonathan Leko
16072,Vurnon Anita
42901,Osazemwinde Peter Odemwingie
3086,Ben Davies
20641,Connor Wickham
4808,Andre Wisdom
3605,Sung-Yeung Ki
3621,Eden Hazard
3594,Danny Rose
9014,Declan Rudd
7063,Jefferson Antonio Montero Vite
3542,Jonjoe Kenny
4738,Lee Tomlin
13846,Jan Kirchhoff
3541,Chris Brunt
3608,Simon Francis
3244,John Stones
3665,Andrew Philip King
4831,Nacer Chadli
10931,Joe Allen
9642,Alan Hutton
3326,Chung-Yong Lee
18947,Sébastien Pocognoli
3646,Marc Pugh
6821,Jesús Navas González
24120,Jamie Sterry
3645,Gary Cahill
3649,Karl Darlow
3293,Jesse Lingard
3813,Wes Morgan
8251,Marco van Ginkel
3312,Demarai Gray
9070,Hiram Boateng
3726,Gerard Deulofeu Lázaro
3668,Theo Walcott
2988,Memphis Depay
20446,Shay Given
3291,Joe Hart
7110,Bacary Sagna
43627,Jordi Gómez García-Penche
18404,José Ángel Crespo Rincón
4271,Andy Carroll
40366,Wes Brown
9539,Vito Mannone
4589,Séamus Coleman
9551,Callum McManaman
10457,Patrick Bamford
3205,Kyle Walker
15892,Jordon Mutch
3096,Rob Elliot
